descripcion,opcion1,opcion2,opcion3,correcta
¿Cuál es el país menos turístico de Europa?,Armenia, Moldavia, Liechtenstein, Liechtenstein
¿A qué país pertenece la isla de Tasmania?,Estados Unidos, Australia, Portugal, Australia
¿En cuál de los siguientes países NO hay ningún desierto?, España, Chile, Alemania, Alemania
¿Cuál es el código internacional para Cuba?, CA, CU, CB, CU
¿Cuál es la capital del estado de Arkansas?, Kansas, Little Rock, Hot Springs, Little Rock
¿En qué país situarías la ciudad de Cali?, Colombia, Venezuela, Costa Rica, Colombia
¿Cuál de estas características no pertenece al clima Mediterráneo?, Veranos secos y calurosos, Es un tipo de clima templado, Lluvias muy abundantes, Lluvias muy abundantes
¿Qué es el Cabo de Creus?, El punto más oriental de España, El punto más oriental de la Península, El punto más oriental de Cataluña, El punto más oriental de la Península
¿Cuál es principal celebración holandesa?, Navidad, La llegada del verano, El dia de la Reina, El dia de la Reina
¿Cuál de las siguientes especialidades NO es típica de la cocina estadounidense?, La hamburguesa, El pastel de cangrejo, Todas son típicas, Todas son típicas
¿De que deporte es el kemari uno de los principales antecesores?, Fútbol, Ténis, Rugby, Fútbol
¿Cuál es el clásico rival del Flamengo (BRA)?, Corinthians, Palmeiras, Cruzeiro, Corinthians
¿Qué jugadora de hockey sobre césped ha ganado 7 veces el premio a la mejor jugadora del mundo de 2013,Luciana Aymar,Natascha Keller,Alyson Annan,Luciana Aymar
¿Cuántas finales del mundo jugó la Selección Argentina de fútbol?,Cinco,Seis,Cuatro,Cuatro
¿Cuál es el estilo de natación más rápido?, Crol,Espalda,Mariposa,Crol
¿Cuántos jugadores componen un equipo de rugby?,11,12,15,15
¿Cuántas puntas de cada color hay en un tablero de backgammon?,Ocho,Doce,Catorce,Doce
¿Dónde se inventó el tenis de mesa?,China,Japón,Inglaterra,Inglaterra
¿Qué país es campeón del mundo de balonmano masculino del 2013?,Hungria,Alemania,España,España
¿Cuánto dura un partido de balonmano?,30 minutos,45 minutos,60 minutos,60 minutos
¿Quién pintó el cuado El jardín de las delicias?,El Bosco,Carvaggio,Velázquez,El Bosco
¿Cuál es la ciudad fetiche del escritor Paul Auster?,Nueva York,Londres,París,Nueva York
¿Quién vivía en el 221B de Backer Street?,Sherlock Holmes,Philip Marlowe,Truman Capote,Sherlock Holmes
¿Qué fotografía, sobre todo, Anne Geddes?,Famosos,Farolas,Bebés,Bebés
¿Cuál de los siguientes artistas es una figura clave del dadaísmo y el surrealismo?,Max Ernst,Claude Monet,Vincent Van Gogh,Max Ernst
¿Qué profesión tenía Hércules Poiriot en las novelas de Agatha Christie?,Policía,Médico,Detective,Detective
¿Qué cosa perdida buscaba Marcel Proust?,El amor,La fortuna,El tiempo,El tiempo
¿Qué era Le Chat Noir, el establecimiento que anunciaban los carteles el famoso gato negro de París?,Un cabaret,Un restaurante,Un cine,Un cabaret
Los amantes de Teruel…,Viajaban en carrusel,Tonta ella y tonto él,Existieron en papel,Tonta ella y tonto él
¿Quién introdujo la lira en la lírica española?,Mondadori,Alpha Decay,Blackie Books,Blackie Books